month,region,item,total_issued
2021 Aug,Affar,Levonorgestrel (D-Norgestrel) - 0.03mg - Tablet,919
2021 Sep,Affar,Levonorgestrel (D-Norgestrel) - 0.03mg - Tablet,178
2021 Oct,Affar,Levonorgestrel (D-Norgestrel) - 0.03mg - Tablet,833
2021 Nov,Affar,Levonorgestrel (D-Norgestrel) - 0.03mg - Tablet,148
2021 Dec,Affar,Levonorgestrel (D-Norgestrel) - 0.03mg - Tablet,795
2022 Jan,Affar,Levonorgestrel (D-Norgestrel) - 0.03mg - Tablet,703
2022 Feb,Affar,Levonorgestrel (D-Norgestrel) - 0.03mg - Tablet,433
2022 Mar,Affar,Levonorgestrel (D-Norgestrel) - 0.03mg - Tablet,494
2022 Apr,Affar,Levonorgestrel (D-Norgestrel) - 0.03mg - Tablet,170
2022 May,Affar,Levonorgestrel (D-Norgestrel) - 0.03mg - Tablet,91
2022 Jun,Affar,Levonorgestrel (D-Norgestrel) - 0.03mg - Tablet,1219
2022 Jul,Affar,Levonorgestrel (D-Norgestrel) - 0.03mg - Tablet,382
2022 Aug,Affar,Levonorgestrel (D-Norgestrel) - 0.03mg - Tablet,415
2022 Sep,Affar,Levonorgestrel (D-Norgestrel) - 0.03mg - Tablet,1573
2022 Oct,Affar,Levonorgestrel (D-Norgestrel) - 0.03mg - Tablet,491
2022 Nov,Affar,Levonorgestrel (D-Norgestrel) - 0.03mg - Tablet,1247
2022 Dec,Affar,Levonorgestrel (D-Norgestrel) - 0.03mg - Tablet,1589
2023 Jan,Affar,Levonorgestrel (D-Norgestrel) - 0.03mg - Tablet,645
2023 Feb,Affar,Levonorgestrel (D-Norgestrel) - 0.03mg - Tablet,535
2023 Mar,Affar,Levonorgestrel (D-Norgestrel) - 0.03mg - Tablet,1031
2023 Apr,Affar,Levonorgestrel (D-Norgestrel) - 0.03mg - Tablet,195
2023 May,Affar,Levonorgestrel (D-Norgestrel) - 0.03mg - Tablet,454
2023 Jun,Affar,Levonorgestrel (D-Norgestrel) - 0.03mg - Tablet,335
2017 Aug,Affar,Levonorgestrel (D-Norgestrel) - 0.75mg - Tablet,45
2017 Sep,Affar,Levonorgestrel (D-Norgestrel) - 0.75mg - Tablet,0
2017 Oct,Affar,Levonorgestrel (D-Norgestrel) - 0.75mg - Tablet,160
2017 Nov,Affar,Levonorgestrel (D-Norgestrel) - 0.75mg - Tablet,0
2017 Dec,Affar,Levonorgestrel (D-Norgestrel) - 0.75mg - Tablet,10
2018 Jan,Affar,Levonorgestrel (D-Norgestrel) - 0.75mg - Tablet,101
2018 Feb,Affar,Levonorgestrel (D-Norgestrel) - 0.75mg - Tablet,365
2018 Mar,Affar,Levonorgestrel (D-Norgestrel) - 0.75mg - Tablet,1026
2018 Apr,Affar,Levonorgestrel (D-Norgestrel) - 0.75mg - Tablet,435
2018 May,Affar,Levonorgestrel (D-Norgestrel) - 0.75mg - Tablet,502
2018 Jun,Affar,Levonorgestrel (D-Norgestrel) - 0.75mg - Tablet,1400
2018 Jul,Affar,Levonorgestrel (D-Norgestrel) - 0.75mg - Tablet,390
2018 Aug,Affar,Levonorgestrel (D-Norgestrel) - 0.75mg - Tablet,362
2018 Sep,Affar,Levonorgestrel (D-Norgestrel) - 0.75mg - Tablet,6
2018 Oct,Affar,Levonorgestrel (D-Norgestrel) - 0.75mg - Tablet,140
2018 Nov,Affar,Levonorgestrel (D-Norgestrel) - 0.75mg - Tablet,250
2018 Dec,Affar,Levonorgestrel (D-Norgestrel) - 0.75mg - Tablet,559
2019 Jan,Affar,Levonorgestrel (D-Norgestrel) - 0.75mg - Tablet,493
2019 Feb,Affar,Levonorgestrel (D-Norgestrel) - 0.75mg - Tablet,184
2019 Mar,Affar,Levonorgestrel (D-Norgestrel) - 0.75mg - Tablet,0
2019 Apr,Affar,Levonorgestrel (D-Norgestrel) - 0.75mg - Tablet,60
2019 May,Affar,Levonorgestrel (D-Norgestrel) - 0.75mg - Tablet,400
2019 Jun,Affar,Levonorgestrel (D-Norgestrel) - 0.75mg - Tablet,81
2019 Jul,Affar,Levonorgestrel (D-Norgestrel) - 0.75mg - Tablet,20
2019 Aug,Affar,Levonorgestrel (D-Norgestrel) - 0.75mg - Tablet,100
2019 Sep,Affar,Levonorgestrel (D-Norgestrel) - 0.75mg - Tablet,246
2019 Oct,Affar,Levonorgestrel (D-Norgestrel) - 0.75mg - Tablet,0
2019 Nov,Affar,Levonorgestrel (D-Norgestrel) - 0.75mg - Tablet,300
2019 Dec,Affar,Levonorgestrel (D-Norgestrel) - 0.75mg - Tablet,0
2020 Jan,Affar,Levonorgestrel (D-Norgestrel) - 0.75mg - Tablet,0
2020 Feb,Affar,Levonorgestrel (D-Norgestrel) - 0.75mg - Tablet,37
2020 Mar,Affar,Levonorgestrel (D-Norgestrel) - 0.75mg - Tablet,882
2020 Apr,Affar,Levonorgestrel (D-Norgestrel) - 0.75mg - Tablet,245
2020 May,Affar,Levonorgestrel (D-Norgestrel) - 0.75mg - Tablet,267
2020 Jun,Affar,Levonorgestrel (D-Norgestrel) - 0.75mg - Tablet,1109
2020 Jul,Affar,Levonorgestrel (D-Norgestrel) - 0.75mg - Tablet,133
2020 Aug,Affar,Levonorgestrel (D-Norgestrel) - 0.75mg - Tablet,627
2020 Sep,Affar,Levonorgestrel (D-Norgestrel) - 0.75mg - Tablet,130
2020 Oct,Affar,Levonorgestrel (D-Norgestrel) - 0.75mg - Tablet,1678
2020 Nov,Affar,Levonorgestrel (D-Norgestrel) - 0.75mg - Tablet,470
2020 Dec,Affar,Levonorgestrel (D-Norgestrel) - 0.75mg - Tablet,265
2021 Jan,Affar,Levonorgestrel (D-Norgestrel) - 0.75mg - Tablet,1416
2021 Feb,Affar,Levonorgestrel (D-Norgestrel) - 0.75mg - Tablet,302
2021 Mar,Affar,Levonorgestrel (D-Norgestrel) - 0.75mg - Tablet,1538
2021 Apr,Affar,Levonorgestrel (D-Norgestrel) - 0.75mg - Tablet,385
2021 May,Affar,Levonorgestrel (D-Norgestrel) - 0.75mg - Tablet,913
2021 Jun,Affar,Levonorgestrel (D-Norgestrel) - 0.75mg - Tablet,1405
2021 Jul,Affar,Levonorgestrel (D-Norgestrel) - 0.75mg - Tablet,855
2021 Aug,Affar,Levonorgestrel (D-Norgestrel) - 0.75mg - Tablet,372
2021 Sep,Affar,Levonorgestrel (D-Norgestrel) - 0.75mg - Tablet,230
2021 Oct,Affar,Levonorgestrel (D-Norgestrel) - 0.75mg - Tablet,607
2021 Nov,Affar,Levonorgestrel (D-Norgestrel) - 0.75mg - Tablet,231
2021 Dec,Affar,Levonorgestrel (D-Norgestrel) - 0.75mg - Tablet,420
2022 Jan,Affar,Levonorgestrel (D-Norgestrel) - 0.75mg - Tablet,585
2022 Feb,Affar,Levonorgestrel (D-Norgestrel) - 0.75mg - Tablet,235
2022 Mar,Affar,Levonorgestrel (D-Norgestrel) - 0.75mg - Tablet,431
2022 Apr,Affar,Levonorgestrel (D-Norgestrel) - 0.75mg - Tablet,230
2022 May,Affar,Levonorgestrel (D-Norgestrel) - 0.75mg - Tablet,672
2022 Jun,Affar,Levonorgestrel (D-Norgestrel) - 0.75mg - Tablet,559
2022 Jul,Affar,Levonorgestrel (D-Norgestrel) - 0.75mg - Tablet,90
2022 Aug,Affar,Levonorgestrel (D-Norgestrel) - 0.75mg - Tablet,0
2022 Sep,Affar,Levonorgestrel (D-Norgestrel) - 0.75mg - Tablet,620
2022 Oct,Affar,Levonorgestrel (D-Norgestrel) - 0.75mg - Tablet,519
2022 Nov,Affar,Levonorgestrel (D-Norgestrel) - 0.75mg - Tablet,1525
2022 Dec,Affar,Levonorgestrel (D-Norgestrel) - 0.75mg - Tablet,796
2023 Jan,Affar,Levonorgestrel (D-Norgestrel) - 0.75mg - Tablet,737
2023 Feb,Affar,Levonorgestrel (D-Norgestrel) - 0.75mg - Tablet,1158
2023 Mar,Affar,Levonorgestrel (D-Norgestrel) - 0.75mg - Tablet,1064
2023 Apr,Affar,Levonorgestrel (D-Norgestrel) - 0.75mg - Tablet,407
2023 May,Affar,Levonorgestrel (D-Norgestrel) - 0.75mg - Tablet,494
2023 Jun,Affar,Levonorgestrel (D-Norgestrel) - 0.75mg - Tablet,320
2017 Aug,Affar,Levonorgestrel - 75mg/capsule pack of 2 capsule,5
2017 Sep,Affar,Levonorgestrel - 75mg/capsule pack of 2 capsule,0
2017 Oct,Affar,Levonorgestrel - 75mg/capsule pack of 2 capsule,0
2017 Nov,Affar,Levonorgestrel - 75mg/capsule pack of 2 capsule,0
2017 Dec,Affar,Levonorgestrel - 75mg/capsule pack of 2 capsule,0
2018 Jan,Affar,Levonorgestrel - 75mg/capsule pack of 2 capsule,1
2018 Feb,Affar,Levonorgestrel - 75mg/capsule pack of 2 capsule,0
2018 Mar,Affar,Levonorgestrel - 75mg/capsule pack of 2 capsule,4
2018 Apr,Affar,Levonorgestrel - 75mg/capsule pack of 2 capsule,2
2018 May,Affar,Levonorgestrel - 75mg/capsule pack of 2 capsule,0
2018 Jun,Affar,Levonorgestrel - 75mg/capsule pack of 2 capsule,6
2018 Jul,Affar,Levonorgestrel - 75mg/capsule pack of 2 capsule,0
2018 Aug,Affar,Levonorgestrel - 75mg/capsule pack of 2 capsule,1
2018 Sep,Affar,Levonorgestrel - 75mg/capsule pack of 2 capsule,0
2018 Oct,Affar,Levonorgestrel - 75mg/capsule pack of 2 capsule,2
2018 Nov,Affar,Levonorgestrel - 75mg/capsule pack of 2 capsule,0
2018 Dec,Affar,Levonorgestrel - 75mg/capsule pack of 2 capsule,6
2019 Jan,Affar,Levonorgestrel - 75mg/capsule pack of 2 capsule,0
2019 Feb,Affar,Levonorgestrel - 75mg/capsule pack of 2 capsule,0
2019 Mar,Affar,Levonorgestrel - 75mg/capsule pack of 2 capsule,0
2019 Apr,Affar,Levonorgestrel - 75mg/capsule pack of 2 capsule,10
2019 May,Affar,Levonorgestrel - 75mg/capsule pack of 2 capsule,0
2019 Jun,Affar,Levonorgestrel - 75mg/capsule pack of 2 capsule,140
2019 Jul,Affar,Levonorgestrel - 75mg/capsule pack of 2 capsule,10
2019 Aug,Affar,Levonorgestrel - 75mg/capsule pack of 2 capsule,110
2019 Sep,Affar,Levonorgestrel - 75mg/capsule pack of 2 capsule,264
2019 Oct,Affar,Levonorgestrel - 75mg/capsule pack of 2 capsule,153
2019 Nov,Affar,Levonorgestrel - 75mg/capsule pack of 2 capsule,69
2019 Dec,Affar,Levonorgestrel - 75mg/capsule pack of 2 capsule,0
2020 Jan,Affar,Levonorgestrel - 75mg/capsule pack of 2 capsule,67
2020 Feb,Affar,Levonorgestrel - 75mg/capsule pack of 2 capsule,0
2020 Mar,Affar,Levonorgestrel - 75mg/capsule pack of 2 capsule,91
2020 Apr,Affar,Levonorgestrel - 75mg/capsule pack of 2 capsule,25
2020 May,Affar,Levonorgestrel - 75mg/capsule pack of 2 capsule,38
2020 Jun,Affar,Levonorgestrel - 75mg/capsule pack of 2 capsule,23
2020 Jul,Affar,Levonorgestrel - 75mg/capsule pack of 2 capsule,0
2020 Aug,Affar,Levonorgestrel - 75mg/capsule pack of 2 capsule,48
2020 Sep,Affar,Levonorgestrel - 75mg/capsule pack of 2 capsule,20
2020 Oct,Affar,Levonorgestrel - 75mg/capsule pack of 2 capsule,22
2020 Nov,Affar,Levonorgestrel - 75mg/capsule pack of 2 capsule,11
2020 Dec,Affar,Levonorgestrel - 75mg/capsule pack of 2 capsule,4
2021 Jan,Affar,Levonorgestrel - 75mg/capsule pack of 2 capsule,9
2021 Feb,Affar,Levonorgestrel - 75mg/capsule pack of 2 capsule,2
2021 Mar,Affar,Levonorgestrel - 75mg/capsule pack of 2 capsule,7
2021 Apr,Affar,Levonorgestrel - 75mg/capsule pack of 2 capsule,0
2021 May,Affar,Levonorgestrel - 75mg/capsule pack of 2 capsule,0
2021 Jun,Affar,Levonorgestrel - 75mg/capsule pack of 2 capsule,5
2021 Jul,Affar,Levonorgestrel - 75mg/capsule pack of 2 capsule,5
2021 Aug,Affar,Levonorgestrel - 75mg/capsule pack of 2 capsule,9
2021 Sep,Affar,Levonorgestrel - 75mg/capsule pack of 2 capsule,0
2021 Oct,Affar,Levonorgestrel - 75mg/capsule pack of 2 capsule,4
2021 Nov,Affar,Levonorgestrel - 75mg/capsule pack of 2 capsule,3
2021 Dec,Affar,Levonorgestrel - 75mg/capsule pack of 2 capsule,0
2022 Jan,Affar,Levonorgestrel - 75mg/capsule pack of 2 capsule,2
2022 Feb,Affar,Levonorgestrel - 75mg/capsule pack of 2 capsule,4
2022 Mar,Affar,Levonorgestrel - 75mg/capsule pack of 2 capsule,11
2022 Apr,Affar,Levonorgestrel - 75mg/capsule pack of 2 capsule,2
2022 May,Affar,Levonorgestrel - 75mg/capsule pack of 2 capsule,4
2022 Jun,Affar,Levonorgestrel - 75mg/capsule pack of 2 capsule,4
2022 Jul,Affar,Levonorgestrel - 75mg/capsule pack of 2 capsule,1
2022 Aug,Affar,Levonorgestrel - 75mg/capsule pack of 2 capsule,0
2022 Sep,Affar,Levonorgestrel - 75mg/capsule pack of 2 capsule,6
2022 Oct,Affar,Levonorgestrel - 75mg/capsule pack of 2 capsule,0
2022 Nov,Affar,Levonorgestrel - 75mg/capsule pack of 2 capsule,0
2022 Dec,Affar,Levonorgestrel - 75mg/capsule pack of 2 capsule,20
2023 Jan,Affar,Levonorgestrel - 75mg/capsule pack of 2 capsule,11
2023 Feb,Affar,Levonorgestrel - 75mg/capsule pack of 2 capsule,8
2023 Mar,Affar,Levonorgestrel - 75mg/capsule pack of 2 capsule,7
2023 Apr,Affar,Levonorgestrel - 75mg/capsule pack of 2 capsule,1
2023 May,Affar,Levonorgestrel - 75mg/capsule pack of 2 capsule,7
2017 Aug,Affar,Levonorgestrel(D-Norgestrel) +Ethinylestradiol + Ferrous Fumerate - (0.15mg + 0.03mg +75mg ) - Tablet,30
2017 Sep,Affar,Levonorgestrel(D-Norgestrel) +Ethinylestradiol + Ferrous Fumerate - (0.15mg + 0.03mg +75mg ) - Tablet,66
2017 Oct,Affar,Levonorgestrel(D-Norgestrel) +Ethinylestradiol + Ferrous Fumerate - (0.15mg + 0.03mg +75mg ) - Tablet,100
2017 Nov,Affar,Levonorgestrel(D-Norgestrel) +Ethinylestradiol + Ferrous Fumerate - (0.15mg + 0.03mg +75mg ) - Tablet,0
2017 Dec,Affar,Levonorgestrel(D-Norgestrel) +Ethinylestradiol + Ferrous Fumerate - (0.15mg + 0.03mg +75mg ) - Tablet,120
2018 Jan,Affar,Levonorgestrel(D-Norgestrel) +Ethinylestradiol + Ferrous Fumerate - (0.15mg + 0.03mg +75mg ) - Tablet,0
2018 Feb,Affar,Levonorgestrel(D-Norgestrel) +Ethinylestradiol + Ferrous Fumerate - (0.15mg + 0.03mg +75mg ) - Tablet,122
2018 Mar,Affar,Levonorgestrel(D-Norgestrel) +Ethinylestradiol + Ferrous Fumerate - (0.15mg + 0.03mg +75mg ) - Tablet,2674
2018 Apr,Affar,Levonorgestrel(D-Norgestrel) +Ethinylestradiol + Ferrous Fumerate - (0.15mg + 0.03mg +75mg ) - Tablet,362
2018 May,Affar,Levonorgestrel(D-Norgestrel) +Ethinylestradiol + Ferrous Fumerate - (0.15mg + 0.03mg +75mg ) - Tablet,2737
2018 Jun,Affar,Levonorgestrel(D-Norgestrel) +Ethinylestradiol + Ferrous Fumerate - (0.15mg + 0.03mg +75mg ) - Tablet,3898
2018 Jul,Affar,Levonorgestrel(D-Norgestrel) +Ethinylestradiol + Ferrous Fumerate - (0.15mg + 0.03mg +75mg ) - Tablet,60
2018 Aug,Affar,Levonorgestrel(D-Norgestrel) +Ethinylestradiol + Ferrous Fumerate - (0.15mg + 0.03mg +75mg ) - Tablet,846
2018 Sep,Affar,Levonorgestrel(D-Norgestrel) +Ethinylestradiol + Ferrous Fumerate - (0.15mg + 0.03mg +75mg ) - Tablet,0
2018 Oct,Affar,Levonorgestrel(D-Norgestrel) +Ethinylestradiol + Ferrous Fumerate - (0.15mg + 0.03mg +75mg ) - Tablet,968
2018 Nov,Affar,Levonorgestrel(D-Norgestrel) +Ethinylestradiol + Ferrous Fumerate - (0.15mg + 0.03mg +75mg ) - Tablet,80
2018 Dec,Affar,Levonorgestrel(D-Norgestrel) +Ethinylestradiol + Ferrous Fumerate - (0.15mg + 0.03mg +75mg ) - Tablet,184
2019 Jan,Affar,Levonorgestrel(D-Norgestrel) +Ethinylestradiol + Ferrous Fumerate - (0.15mg + 0.03mg +75mg ) - Tablet,350
2019 Feb,Affar,Levonorgestrel(D-Norgestrel) +Ethinylestradiol + Ferrous Fumerate - (0.15mg + 0.03mg +75mg ) - Tablet,481
2019 Mar,Affar,Levonorgestrel(D-Norgestrel) +Ethinylestradiol + Ferrous Fumerate - (0.15mg + 0.03mg +75mg ) - Tablet,506
2019 Apr,Affar,Levonorgestrel(D-Norgestrel) +Ethinylestradiol + Ferrous Fumerate - (0.15mg + 0.03mg +75mg ) - Tablet,549
2019 May,Affar,Levonorgestrel(D-Norgestrel) +Ethinylestradiol + Ferrous Fumerate - (0.15mg + 0.03mg +75mg ) - Tablet,30
2019 Jun,Affar,Levonorgestrel(D-Norgestrel) +Ethinylestradiol + Ferrous Fumerate - (0.15mg + 0.03mg +75mg ) - Tablet,436
2019 Jul,Affar,Levonorgestrel(D-Norgestrel) +Ethinylestradiol + Ferrous Fumerate - (0.15mg + 0.03mg +75mg ) - Tablet,174
2019 Aug,Affar,Levonorgestrel(D-Norgestrel) +Ethinylestradiol + Ferrous Fumerate - (0.15mg + 0.03mg +75mg ) - Tablet,1433
2019 Sep,Affar,Levonorgestrel(D-Norgestrel) +Ethinylestradiol + Ferrous Fumerate - (0.15mg + 0.03mg +75mg ) - Tablet,1133
2019 Oct,Affar,Levonorgestrel(D-Norgestrel) +Ethinylestradiol + Ferrous Fumerate - (0.15mg + 0.03mg +75mg ) - Tablet,1652
2019 Nov,Affar,Levonorgestrel(D-Norgestrel) +Ethinylestradiol + Ferrous Fumerate - (0.15mg + 0.03mg +75mg ) - Tablet,2131
2019 Dec,Affar,Levonorgestrel(D-Norgestrel) +Ethinylestradiol + Ferrous Fumerate - (0.15mg + 0.03mg +75mg ) - Tablet,1164
2020 Jan,Affar,Levonorgestrel(D-Norgestrel) +Ethinylestradiol + Ferrous Fumerate - (0.15mg + 0.03mg +75mg ) - Tablet,1076
2020 Feb,Affar,Levonorgestrel(D-Norgestrel) +Ethinylestradiol + Ferrous Fumerate - (0.15mg + 0.03mg +75mg ) - Tablet,2074
2020 Mar,Affar,Levonorgestrel(D-Norgestrel) +Ethinylestradiol + Ferrous Fumerate - (0.15mg + 0.03mg +75mg ) - Tablet,1388
2020 Apr,Affar,Levonorgestrel(D-Norgestrel) +Ethinylestradiol + Ferrous Fumerate - (0.15mg + 0.03mg +75mg ) - Tablet,400
2020 May,Affar,Levonorgestrel(D-Norgestrel) +Ethinylestradiol + Ferrous Fumerate - (0.15mg + 0.03mg +75mg ) - Tablet,2148
2020 Jun,Affar,Levonorgestrel(D-Norgestrel) +Ethinylestradiol + Ferrous Fumerate - (0.15mg + 0.03mg +75mg ) - Tablet,2147
2020 Jul,Affar,Levonorgestrel(D-Norgestrel) +Ethinylestradiol + Ferrous Fumerate - (0.15mg + 0.03mg +75mg ) - Tablet,112
2020 Aug,Affar,Levonorgestrel(D-Norgestrel) +Ethinylestradiol + Ferrous Fumerate - (0.15mg + 0.03mg +75mg ) - Tablet,1003
2020 Sep,Affar,Levonorgestrel(D-Norgestrel) +Ethinylestradiol + Ferrous Fumerate - (0.15mg + 0.03mg +75mg ) - Tablet,71
2020 Oct,Affar,Levonorgestrel(D-Norgestrel) +Ethinylestradiol + Ferrous Fumerate - (0.15mg + 0.03mg +75mg ) - Tablet,3415
2020 Nov,Affar,Levonorgestrel(D-Norgestrel) +Ethinylestradiol + Ferrous Fumerate - (0.15mg + 0.03mg +75mg ) - Tablet,1832
2020 Dec,Affar,Levonorgestrel(D-Norgestrel) +Ethinylestradiol + Ferrous Fumerate - (0.15mg + 0.03mg +75mg ) - Tablet,601
2021 Jan,Affar,Levonorgestrel(D-Norgestrel) +Ethinylestradiol + Ferrous Fumerate - (0.15mg + 0.03mg +75mg ) - Tablet,4261
2021 Feb,Affar,Levonorgestrel(D-Norgestrel) +Ethinylestradiol + Ferrous Fumerate - (0.15mg + 0.03mg +75mg ) - Tablet,100
2021 Mar,Affar,Levonorgestrel(D-Norgestrel) +Ethinylestradiol + Ferrous Fumerate - (0.15mg + 0.03mg +75mg ) - Tablet,2810
2021 Apr,Affar,Levonorgestrel(D-Norgestrel) +Ethinylestradiol + Ferrous Fumerate - (0.15mg + 0.03mg +75mg ) - Tablet,350
2021 May,Affar,Levonorgestrel(D-Norgestrel) +Ethinylestradiol + Ferrous Fumerate - (0.15mg + 0.03mg +75mg ) - Tablet,620
2021 Jun,Affar,Levonorgestrel(D-Norgestrel) +Ethinylestradiol + Ferrous Fumerate - (0.15mg + 0.03mg +75mg ) - Tablet,2347
2021 Jul,Affar,Levonorgestrel(D-Norgestrel) +Ethinylestradiol + Ferrous Fumerate - (0.15mg + 0.03mg +75mg ) - Tablet,1356
2021 Aug,Affar,Levonorgestrel(D-Norgestrel) +Ethinylestradiol + Ferrous Fumerate - (0.15mg + 0.03mg +75mg ) - Tablet,1212
2021 Sep,Affar,Levonorgestrel(D-Norgestrel) +Ethinylestradiol + Ferrous Fumerate - (0.15mg + 0.03mg +75mg ) - Tablet,364
2021 Oct,Affar,Levonorgestrel(D-Norgestrel) +Ethinylestradiol + Ferrous Fumerate - (0.15mg + 0.03mg +75mg ) - Tablet,1434
2021 Nov,Affar,Levonorgestrel(D-Norgestrel) +Ethinylestradiol + Ferrous Fumerate - (0.15mg + 0.03mg +75mg ) - Tablet,802
2021 Dec,Affar,Levonorgestrel(D-Norgestrel) +Ethinylestradiol + Ferrous Fumerate - (0.15mg + 0.03mg +75mg ) - Tablet,1920
2022 Jan,Affar,Levonorgestrel(D-Norgestrel) +Ethinylestradiol + Ferrous Fumerate - (0.15mg + 0.03mg +75mg ) - Tablet,1711
2022 Feb,Affar,Levonorgestrel(D-Norgestrel) +Ethinylestradiol + Ferrous Fumerate - (0.15mg + 0.03mg +75mg ) - Tablet,1595
2022 Mar,Affar,Levonorgestrel(D-Norgestrel) +Ethinylestradiol + Ferrous Fumerate - (0.15mg + 0.03mg +75mg ) - Tablet,2934
2022 Apr,Affar,Levonorgestrel(D-Norgestrel) +Ethinylestradiol + Ferrous Fumerate - (0.15mg + 0.03mg +75mg ) - Tablet,344
2022 May,Affar,Levonorgestrel(D-Norgestrel) +Ethinylestradiol + Ferrous Fumerate - (0.15mg + 0.03mg +75mg ) - Tablet,686
2022 Jun,Affar,Levonorgestrel(D-Norgestrel) +Ethinylestradiol + Ferrous Fumerate - (0.15mg + 0.03mg +75mg ) - Tablet,816
2022 Jul,Affar,Levonorgestrel(D-Norgestrel) +Ethinylestradiol + Ferrous Fumerate - (0.15mg + 0.03mg +75mg ) - Tablet,538
2022 Aug,Affar,Levonorgestrel(D-Norgestrel) +Ethinylestradiol + Ferrous Fumerate - (0.15mg + 0.03mg +75mg ) - Tablet,2577
2022 Sep,Affar,Levonorgestrel(D-Norgestrel) +Ethinylestradiol + Ferrous Fumerate - (0.15mg + 0.03mg +75mg ) - Tablet,3048
2022 Oct,Affar,Levonorgestrel(D-Norgestrel) +Ethinylestradiol + Ferrous Fumerate - (0.15mg + 0.03mg +75mg ) - Tablet,795
2022 Nov,Affar,Levonorgestrel(D-Norgestrel) +Ethinylestradiol + Ferrous Fumerate - (0.15mg + 0.03mg +75mg ) - Tablet,2639
2022 Dec,Affar,Levonorgestrel(D-Norgestrel) +Ethinylestradiol + Ferrous Fumerate - (0.15mg + 0.03mg +75mg ) - Tablet,2886
2023 Jan,Affar,Levonorgestrel(D-Norgestrel) +Ethinylestradiol + Ferrous Fumerate - (0.15mg + 0.03mg +75mg ) - Tablet,795
2023 Feb,Affar,Levonorgestrel(D-Norgestrel) +Ethinylestradiol + Ferrous Fumerate - (0.15mg + 0.03mg +75mg ) - Tablet,2518
2023 Mar,Affar,Levonorgestrel(D-Norgestrel) +Ethinylestradiol + Ferrous Fumerate - (0.15mg + 0.03mg +75mg ) - Tablet,2185
2023 Apr,Affar,Levonorgestrel(D-Norgestrel) +Ethinylestradiol + Ferrous Fumerate - (0.15mg + 0.03mg +75mg ) - Tablet,1524
2023 May,Affar,Levonorgestrel(D-Norgestrel) +Ethinylestradiol + Ferrous Fumerate - (0.15mg + 0.03mg +75mg ) - Tablet,2129
2023 Jun,Affar,Levonorgestrel(D-Norgestrel) +Ethinylestradiol + Ferrous Fumerate - (0.15mg + 0.03mg +75mg ) - Tablet,610
2017 Aug,Affar,Magnesium Sulphate - 50% in 10ml Ampoule - Injection,10
2017 Sep,Affar,Magnesium Sulphate - 50% in 10ml Ampoule - Injection,9
2017 Oct,Affar,Magnesium Sulphate - 50% in 10ml Ampoule - Injection,111
2017 Nov,Affar,Magnesium Sulphate - 50% in 10ml Ampoule - Injection,0
2017 Dec,Affar,Magnesium Sulphate - 50% in 10ml Ampoule - Injection,29
2018 Jan,Affar,Magnesium Sulphate - 50% in 10ml Ampoule - Injection,0
2018 Feb,Affar,Magnesium Sulphate - 50% in 10ml Ampoule - Injection,5
2018 Mar,Affar,Magnesium Sulphate - 50% in 10ml Ampoule - Injection,0
2018 Apr,Affar,Magnesium Sulphate - 50% in 10ml Ampoule - Injection,2
2018 May,Affar,Magnesium Sulphate - 50% in 10ml Ampoule - Injection,0
2018 Jun,Affar,Magnesium Sulphate - 50% in 10ml Ampoule - Injection,23
2018 Jul,Affar,Magnesium Sulphate - 50% in 10ml Ampoule - Injection,0
2018 Aug,Affar,Magnesium Sulphate - 50% in 10ml Ampoule - Injection,0
2018 Sep,Affar,Magnesium Sulphate - 50% in 10ml Ampoule - Injection,0
2018 Oct,Affar,Magnesium Sulphate - 50% in 10ml Ampoule - Injection,0
2018 Nov,Affar,Magnesium Sulphate - 50% in 10ml Ampoule - Injection,0
2018 Dec,Affar,Magnesium Sulphate - 50% in 10ml Ampoule - Injection,0
2019 Jan,Affar,Magnesium Sulphate - 50% in 10ml Ampoule - Injection,0
2019 Feb,Affar,Magnesium Sulphate - 50% in 10ml Ampoule - Injection,2
2019 Mar,Affar,Magnesium Sulphate - 50% in 10ml Ampoule - Injection,30
2019 Apr,Affar,Magnesium Sulphate - 50% in 10ml Ampoule - Injection,4
2019 May,Affar,Magnesium Sulphate - 50% in 10ml Ampoule - Injection,0
2019 Jun,Affar,Magnesium Sulphate - 50% in 10ml Ampoule - Injection,2
2019 Jul,Affar,Magnesium Sulphate - 50% in 10ml Ampoule - Injection,0
2019 Aug,Affar,Magnesium Sulphate - 50% in 10ml Ampoule - Injection,0
2019 Sep,Affar,Magnesium Sulphate - 50% in 10ml Ampoule - Injection,0
2019 Oct,Affar,Magnesium Sulphate - 50% in 10ml Ampoule - Injection,5
2019 Nov,Affar,Magnesium Sulphate - 50% in 10ml Ampoule - Injection,5
2019 Dec,Affar,Magnesium Sulphate - 50% in 10ml Ampoule - Injection,5
2020 Jan,Affar,Magnesium Sulphate - 50% in 10ml Ampoule - Injection,6
2020 Feb,Affar,Magnesium Sulphate - 50% in 10ml Ampoule - Injection,8
2020 Mar,Affar,Magnesium Sulphate - 50% in 10ml Ampoule - Injection,10
2020 Apr,Affar,Magnesium Sulphate - 50% in 10ml Ampoule - Injection,4
2020 May,Affar,Magnesium Sulphate - 50% in 10ml Ampoule - Injection,8
2020 Jun,Affar,Magnesium Sulphate - 50% in 10ml Ampoule - Injection,46
2020 Jul,Affar,Magnesium Sulphate - 50% in 10ml Ampoule - Injection,4
